"SPECIES","NAME","b","a","b_std_err","b_tval","b_pval","a_std_err","a_tval","a_pval","adj_r2","r2","F_val","F_num_df","F_den_df","Ymin","Ymax","Z_VAL","SIG_95"
"S1","Acer platanoides",0.00218055555555556,-3.81491666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,1.28870477821342,FALSE
"S2","Adonis vernalis",0.00197222222222222,-3.45616666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,0.746531368985124,FALSE
"S3","Aira praecox",-0.00673611111111112,13.9305833333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.02977098063896,TRUE
"S4","Ajuga pyramidalis",-0.002125,4.64025,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.76721855123783,FALSE
"S5","Alchemilla acutiloba",-0.00893055555555556,18.1594166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.32785601646174,TRUE
"S6","Alchemilla filicaulis",-0.00706944444444445,14.2575833333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.0932677225999,TRUE
"S7","Alchemilla glabra",-0.011,22.29,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-4.67405113049326,TRUE
"S8","Alchemilla micans",-0.000416666666666666,1.1705,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.245497866462326,FALSE
"S9","Alchemilla monticola",-0.00786111111111112,16.0708333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.13815506546101,TRUE
"S10","Alchemilla subcrenata",-0.00341666666666667,7.1215,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.56684719803427,FALSE
"S11","Allium ursinum",0.0025,-4.56900000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,1.0263118409131,FALSE
"S12","Alnus glutinosa",-0.00388888888888889,8.31466666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.83225827463304,FALSE
"S13","Alopecurus arundinaceus",-0.00608333333333334,12.8345,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.94959566728708,FALSE
"S14","Alopecurus pratensis",-0.00583333333333334,12.058,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.02777908893838,TRUE
"S15","Alyssum alyssoides",-0.00952777777777778,19.4238333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.98245342628532,TRUE
"S16","Anacamptis morio",-0.00258333333333334,5.6055,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.47151714529394,FALSE
"S17","Anacamptis pyramidalis",-0.00663888888888889,13.5711666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.99188585995866,TRUE
"S18","Anemone sylvestris",0.00358333333333334,-6.74550000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,2.02093594857287,TRUE
"S19","Anthemis arvensis",-0.00934722222222223,19.0649166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-4.02582819253351,TRUE
"S20","Anthriscus caucalis",-0.00515277777777778,10.6600833333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.47840548583789,TRUE
"S21","Apera interrupta",-0.00445833333333334,9.22825000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.28424915607039,TRUE
"S22","Arabidopsis thaliana",-0.00309722222222222,6.75041666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.46697827953684,FALSE
"S23","Arctium lappa",-0.00402777777777778,8.45583333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.25137909091145,TRUE
"S24","Arctium tomentosum",-0.00456944444444445,9.58658333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.35746913248471,TRUE
"S25","Artemisia maritima",-0.00372222222222222,7.78766666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.29065606365806,FALSE
"S26","Artemisia oelandica",-0.006625,13.75825,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.20349770745842,TRUE
"S27","Artemisia rupestris",-0.0177916666666667,36.07725,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-4.65151302294212,TRUE
"S28","Asplenium viride",-0.0072638888888889,14.8324166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.48651546789213,FALSE
"S29","Astragalus glycyphyllos",-0.005,10.391,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.66177844853305,TRUE
"S30","Athyrium filix-femina",-0.00548611111111111,11.3790833333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.85118674908971,TRUE
"S31","Atriplex pedunculata",-0.00780555555555556,15.8571666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.467381657474,TRUE
"S32","Avenella flexuosa",-0.00426388888888889,9.06041666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.97163846031399,TRUE
"S33","Baldellia ranunculoides",-0.0055,11.457,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.38619171410882,TRUE
"S34","Berberis vulgaris",-0.000708333333333334,1.83075,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.476302813156919,FALSE
"S35","Berula erecta",0.00231944444444445,-4.23808333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,1.69904714615111,FALSE
"S36","Blysmus rufus",-0.0123472222222222,24.9779166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-4.03553473589151,TRUE
"S37","Botrychium lunaria",-0.00618055555555556,12.6749166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.33429228664396,TRUE
"S38","Brachypodium pinnatum",-0.00377777777777778,7.94433333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.02058825313142,TRUE
"S39","Brachypodium sylvaticum",-0.00247222222222222,5.40616666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.38757946160757,FALSE
"S40","Bromopsis benekenii",0.00052777777777778,-0.611833333333337,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,0.286200084555885,FALSE
"S41","Bupleurum tenuissimum",0.00193055555555556,-3.37841666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,1.25184590771255,FALSE
"S42","Cakile maritima",0.00233333333333334,-3.93400000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,0.980930963782405,FALSE
"S43","Calamagrostis canescens",-0.00675000000000001,13.8605,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.34022590802996,TRUE
"S44","Caltha palustris",-0.0143611111111111,29.4288333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.53860665991583,TRUE
"S45","Campanula cervicaria",-0.00455555555555556,9.41066666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.62391603603025,TRUE
"S46","Campanula latifolia",-0.002875,6.12375000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.58925436698183,FALSE
"S47","Cardamine amara",-0.00025,0.876500000000001,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.116873261230089,FALSE
"S48","Cardamine bulbifera",-0.00188888888888889,4.23666666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.0522420867647,FALSE
"S49","Carduus nutans",-0.00105555555555555,2.43866666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.707781062870082,FALSE
"S50","Carex acutiformis",-0.00473611111111111,9.71558333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.95185547251398,TRUE
"S51","Carex appropinquata",-0.00311111111111111,6.54333333333334,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.26994248740505,FALSE
"S52","Carex arenaria",-0.00548611111111111,11.4990833333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-2.39358774480321,TRUE
"S53","Carex canescens",-0.00184722222222222,4.23391666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.461058519322329,FALSE
"S54","Carex colchica",-0.00141666666666667,3.1335,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-0.902513518231772,FALSE
"S55","Carex digitata",-0.00236111111111111,5.10883333333333,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-1.22226268825085,FALSE
"S56","Carex distans",-0.0086388888888889,17.5861666666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.50451734945621,TRUE
"S57","Carex echinata",-0.00884722222222223,18.0639166666667,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1938,2010,-3.04561653678743,TRUE
