"Species","Time","TFactor","StDev","X","Xspt","Xest","N.0.00","N.0.98"
"Acer platanoides",1938,0.411,0.081,30,30,30,91,0
"Acer platanoides",2010,0.568,0.091,76,76,76,91,60
"Alchemilla subcrenata",1938,0.5,0.139,14,14,14,91,0
"Alchemilla subcrenata",2010,0.254,0.073,13,13,13,91,0
"Drosera rotundifolia",1938,0.94,0.284,12,12,12,89,0
"Drosera rotundifolia",2010,0.178,0.091,4,4,4,89,0
"Dryopteris carthusiana",1938,0.751,0.128,45,45,45,91,0
"Dryopteris carthusiana",2010,0.49,0.075,72,72,72,91,58
"Dryopteris expansa",1938,0.605,0.136,22,22,22,91,0
"Dryopteris expansa",2010,0.285,0.064,22,22,22,91,0
"Dryopteris filix-mas",1938,2.01,0.375,70,70,70,91,0
"Dryopteris filix-mas",2010,0.799,0.159,83,83,83,91,66
"Echium vulgare",1938,0.176,0.047,15,15,15,91,0
"Echium vulgare",2010,0.643,0.11,79,79,79,91,66
"Eleocharis parvula",1938,0.991,0.198,29,29,29,91,0
"Eleocharis parvula",2010,0.193,0.052,15,15,15,91,1
"Epilobium hirsutum",1938,0.088,0.032,8,8,8,91,0
"Epilobium hirsutum",2010,0.72,0.131,81,81,81,91,65
"Epilobium obscurum",1938,0.714,0.189,16,16,16,91,0
"Epilobium obscurum",2010,0.197,0.071,8,8,8,91,0
"Epilobium parviflorum",1938,0.716,0.123,44,44,44,91,0
"Epilobium parviflorum",2010,0.504,0.078,73,73,73,91,66
"Epilobium roseum",1938,0.529,0.135,17,17,17,91,0
"Epilobium roseum",2010,0.28,0.073,16,16,16,91,0
"Allium ursinum",1938,0.276,0.126,5,5,5,91,0
"Allium ursinum",2010,0.456,0.122,15,15,15,91,0
"Epilobium tetragonum",1938,0.3,0.066,23,23,23,91,0
"Epilobium tetragonum",2010,0.389,0.059,64,64,64,91,54
"Epipactis helleborine",1938,0.776,0.138,41,41,41,91,0
"Epipactis helleborine",2010,0.346,0.056,50,50,50,91,28
"Equisetum fluviatile",1938,0.979,0.164,52,52,52,91,0
"Equisetum fluviatile",2010,0.502,0.078,72,72,72,91,58
"Equisetum hyemale",1938,0.474,0.102,24,24,24,91,0
"Equisetum hyemale",2010,0.37,0.066,37,37,37,91,0
"Equisetum pratense",1938,0.501,0.124,18,18,18,91,0
"Equisetum pratense",2010,0.332,0.071,25,25,25,91,0
"Equisetum variegatum",1938,0.499,0.101,28,28,28,91,0
"Equisetum variegatum",2010,0.364,0.061,45,45,45,91,14
"Eriophorum angustifolium",1938,1.415,0.241,62,62,62,91,0
"Eriophorum angustifolium",2010,0.453,0.069,70,70,70,91,64
"Eriophorum latifolium",1938,0.684,0.126,35,35,35,91,0
"Eriophorum latifolium",2010,0.207,0.041,29,29,29,91,3
"Euphorbia palustris",1938,0.777,0.173,24,24,24,91,0
"Euphorbia palustris",2010,0.228,0.057,18,18,18,91,0
"Festuca polesica",1938,0.617,0.133,24,24,24,91,0
"Festuca polesica",2010,0.341,0.068,28,28,28,91,0
"Alnus glutinosa",1938,0.778,0.132,46,46,46,91,0
"Alnus glutinosa",2010,0.498,0.077,72,72,72,91,58
"Filago arvensis",1938,0.69,0.132,34,34,34,91,0
"Filago arvensis",2010,0.26,0.05,31,31,31,91,4
"Frangula alnus",1938,1.001,0.167,53,53,53,91,0
"Frangula alnus",2010,0.524,0.082,74,74,74,91,66
"Galatella linosyris",1938,0.534,0.117,23,23,23,91,0
"Galatella linosyris",2010,0.37,0.068,36,36,36,91,9
"Galium mollugo",1938,0.715,0.123,44,44,44,91,0
"Galium mollugo",2010,0.711,0.129,81,81,81,91,66
"Geranium columbinum",1938,0.531,0.097,36,36,36,91,0
"Geranium columbinum",2010,0.525,0.082,74,74,74,91,63
"Geranium dissectum",1938,0.772,0.131,46,46,46,91,0
"Geranium dissectum",2010,0.62,0.104,78,78,78,91,65
"Geranium sylvaticum",1938,0.517,0.106,28,28,28,91,0
"Geranium sylvaticum",2010,0.305,0.055,37,37,37,91,10
"Globularia vulgaris",1938,0.511,0.123,19,19,19,91,0
"Globularia vulgaris",2010,0.449,0.088,33,33,33,91,6
"Glyceria notata",1938,0.568,0.159,14,14,14,91,0
"Glyceria notata",2010,0.247,0.077,11,11,11,91,0
"Gnaphalium sylvaticum",1938,0.591,0.128,24,24,24,91,0
"Gnaphalium sylvaticum",2010,0.271,0.059,23,23,23,91,0
"Alopecurus arundinaceus",1938,1.045,0.197,35,34,34,91,0
"Alopecurus arundinaceus",2010,0.607,0.108,46,46,46,91,10
"Gymnocarpium dryopteris",1938,0.664,0.122,35,35,35,91,0
"Gymnocarpium dryopteris",2010,0.228,0.042,33,33,33,91,1
"Gypsophila fastigiata",1938,0.868,0.188,26,26,26,91,0
"Gypsophila fastigiata",2010,0.466,0.101,30,30,30,91,9
"Hedera helix",1938,0.615,0.108,40,40,40,91,0
"Hedera helix",2010,0.799,0.159,83,83,83,91,66
"Helichrysum arenarium",1938,0.659,0.206,11,11,11,91,0
"Helichrysum arenarium",2010,0.196,0.081,6,6,6,91,0
"Herminium monorchis",1938,1.654,0.283,65,65,65,91,0
"Herminium monorchis",2010,0.271,0.042,52,52,52,91,53
"Hieracium subulatidens",1938,0.314,0.08,17,17,17,91,0
"Hieracium subulatidens",2010,0.42,0.074,44,44,44,91,10
"Hieracium triviale",1938,0.722,0.138,33,33,33,91,0
"Hieracium triviale",2010,0.326,0.06,36,36,36,91,3
"Hippuris vulgaris",1938,0.381,0.099,16,16,16,91,0
"Hippuris vulgaris",2010,0.317,0.063,31,31,31,91,10
"Holcus lanatus",1938,0.706,0.122,43,43,43,91,0
"Holcus lanatus",2010,0.506,0.078,72,72,72,91,52
"Holcus mollis",1938,0.56,0.12,25,25,25,91,0
"Holcus mollis",2010,0.358,0.067,33,33,33,91,0
"Alopecurus pratensis",1938,0.753,0.129,43,43,43,91,0
"Alopecurus pratensis",2010,0.333,0.051,56,56,56,91,32
"Honckenya peploides",1938,0.495,0.117,20,19.5,19.5,91,0
"Honckenya peploides",2010,0.654,0.112,50,50,50,91,8
"Hottonia palustris",1938,0.652,0.182,14,14,14,91,0
"Hottonia palustris",2010,0.43,0.11,17,17,17,91,0
"Hylotelephium telephium",1938,0.531,0.098,36,35,35,91,0
