"SPECIES","NAME"
"S1","Acer platanoides"
"S2","Adonis vernalis"
"S3","Aira praecox"
"S4","Ajuga pyramidalis"
"S5","Alchemilla acutiloba"
"S6","Alchemilla filicaulis"
"S7","Alchemilla glabra"
"S8","Alchemilla micans"
"S9","Alchemilla monticola"
"S10","Alchemilla subcrenata"
"S11","Allium ursinum"
"S12","Alnus glutinosa"
"S13","Alopecurus arundinaceus"
"S14","Alopecurus pratensis"
"S15","Alyssum alyssoides"
"S16","Anacamptis morio"
"S17","Anacamptis pyramidalis"
"S18","Anemone sylvestris"
"S19","Anthemis arvensis"
"S20","Anthriscus caucalis"
"S21","Apera interrupta"
"S22","Arabidopsis thaliana"
"S23","Arctium lappa"
"S24","Arctium tomentosum"
"S25","Artemisia maritima"
"S26","Artemisia oelandica"
"S27","Artemisia rupestris"
"S28","Asplenium viride"
"S29","Astragalus glycyphyllos"
"S30","Athyrium filix-femina"
"S31","Atriplex pedunculata"
"S32","Avenella flexuosa"
"S33","Baldellia ranunculoides"
"S34","Berberis vulgaris"
"S35","Berula erecta"
"S36","Blysmus rufus"
"S37","Botrychium lunaria"
"S38","Brachypodium pinnatum"
"S39","Brachypodium sylvaticum"
"S40","Bromopsis benekenii"
"S41","Bupleurum tenuissimum"
"S42","Cakile maritima"
"S43","Calamagrostis canescens"
"S44","Caltha palustris"
"S45","Campanula cervicaria"
"S46","Campanula latifolia"
"S47","Cardamine amara"
"S48","Cardamine bulbifera"
"S49","Carduus nutans"
"S50","Carex acutiformis"
"S51","Carex appropinquata"
"S52","Carex arenaria"
"S53","Carex canescens"
"S54","Carex colchica"
"S55","Carex digitata"
"S56","Carex distans"
"S57","Carex echinata"
"S58","Carex elata"
"S59","Carex extensa"
"S60","Carex flava"
"S61","Carex lasiocarpa"
"S62","Carex leporina"
"S63","Carex obtusata"
"S64","Carex ornithopoda"
"S65","Carex pilulifera"
"S66","Carex pulicaris"
"S67","Carex remota"
"S68","Carex riparia"
"S69","Carex rostrata"
"S70","Carex sylvatica"
"S71","Carex tomentosa"
"S72","Carex vesicaria"
"S73","Carex vulpina"
"S74","Carpinus betulus"
"S75","Catabrosa aquatica"
"S76","Centaurium erythraea var. capitatum"
"S77","Centaurium erythraea var. erythraea"
"S78","Centaurium littorale"
"S79","Centaurium pulchellum"
"S80","Cephalanthera longifolia"
"S81","Cerastium arvense"
"S82","Chaenorhinum minus"
"S83","Chenopodiastrum hybridum"
"S84","Cichorium intybus"
"S85","Cladium mariscus"
"S86","Coeloglossum viride"
"S87","Comarum palustre"
"S88","Conium maculatum"
"S89","Consolida regalis"
"S90","Corydalis cava"
"S91","Corynephorus canescens"
"S92","Cota tinctoria"
"S93","Cotoneaster niger"
"S94","Crepis praemorsa"
"S95","Cuscuta epithymum"
"S96","Dactylorhiza incarnata"
"S97","Dactylorhiza sambucina"
